time,ax,ay,az,atotal
0.007897138595581055,1.44,1.19,1.79,2.58
0.010924100875854492,0.53,1.16,1.47,1.94
0.021329164505004883,0.04,0.69,0.23,0.72
0.03106999397277832,0.18,0.31,-0.46,0.58
0.04165816307067871,0.2,0.74,-1.07,1.31
0.05449414253234863,0.11,1.48,-1.34,1.99
0.06164288520812988,0.49,2.24,-1.11,2.54
0.08309006690979004,1.1,2.95,-0.78,3.24
0.08468890190124512,1.61,3.19,-0.29,3.58
0.0913841724395752,1.8,2.97,0.01,3.47
0.10155892372131348,1.87,2.79,-0.12,3.36
0.11157584190368652,1.87,2.62,-0.72,3.29
0.12204289436340332,1.45,2.55,-1.35,3.22
0.1320810317993164,0.96,2.59,-1.85,3.32
0.14260101318359375,0.9,2.57,-2.06,3.41
0.15683197975158691,1.03,2.73,-1.95,3.5
0.16244816780090332,1.27,3.18,-1.88,3.9
0.18256211280822754,1.8,3.35,-2.01,4.3
0.1846311092376709,2.18,3.36,-2.04,4.49
0.19202303886413574,2.15,3.57,-1.33,4.37
0.2020261287689209,2.31,3.87,-0.14,4.5
0.21215200424194336,2.18,3.86,0.93,4.52
0.22233796119689941,2.16,3.74,1.56,4.59
0.23303914070129395,2.23,2.92,0.84,3.76
0.24302101135253906,1.43,2.37,0.21,2.77
0.255993127822876,0.91,1.37,-1.05,1.95
0.2630140781402588,0.71,-0.03,-2.74,2.83
0.28330492973327637,2.63,-1.65,-4.29,5.29
0.28525805473327637,2.55,-1.43,-4.52,5.38
0.29237818717956543,-0.57,0.98,-3.5,3.67
0.3027188777923584,-1.63,2.55,-3.03,4.28
0.31270289421081543,-2.48,3.15,-2.07,4.51
0.32289814949035645,-1.86,2.84,-0.67,3.46
0.33342504501342773,-0.32,2.0,0.46,2.07
0.34398913383483887,-0.23,1.84,0.43,1.9
0.357806921005249,-0.76,1.73,-0.64,1.99
0.3634641170501709,-0.39,1.58,-1.67,2.33
0.3844869136810303,-0.01,1.74,-1.82,2.51
0.3861980438232422,-0.92,0.74,-1.23,1.7
0.39294886589050293,-1.7,-0.66,-0.55,1.9
0.4041931629180908,-4.01,-0.7,1.69,4.4
0.4130561351776123,-6.38,0.58,4.64,7.91
0.423490047454834,-5.69,2.2,6.55,8.95
0.4338810443878174,-3.43,2.08,6.72,7.82
0.4439098834991455,-1.52,1.46,5.08,5.49
0.45706701278686523,-1.63,1.48,3.54,4.16
0.46390795707702637,-2.17,1.55,1.16,2.9
0.4850728511810303,-2.27,2.46,-0.91,3.46
0.4868490695953369,-2.49,3.58,-2.07,4.82
0.49330997467041016,-3.35,4.16,-1.33,5.5
0.5042769908905029,-4.3,4.12,0.87,6.01
0.5135350227355957,-3.97,3.15,2.98,5.87
0.5238711833953857,-3.21,2.2,5.52,6.75
0.5357029438018799,-1.87,2.88,6.11,7.0
0.5442020893096924,-0.57,5.36,3.86,6.62
0.5574281215667725,-0.55,8.69,1.8,8.89
0.5643861293792725,-0.5,8.31,0.06,8.32
0.5845820903778076,-1.57,5.78,-0.71,6.03
0.58536696434021,-1.72,5.02,-0.77,5.36
0.5935850143432617,-1.42,5.28,-1.74,5.73
0.6039769649505615,-1.87,4.65,-2.46,5.58
0.61415696144104,-1.94,2.94,-1.77,3.94
0.6243879795074463,-2.21,1.57,0.11,2.71
0.6358931064605713,-2.6,1.05,1.79,3.32
0.6447670459747314,-1.83,1.08,2.22,3.07
0.6577560901641846,-0.86,2.07,1.13,2.51
0.6649060249328613,0.19,3.67,-0.59,3.72
0.6859240531921387,0.83,3.84,-1.66,4.26
0.6865370273590088,1.84,3.41,-1.08,4.02
0.6942851543426514,2.85,3.31,0.47,4.39
0.7042691707611084,2.85,2.95,1.94,4.53
0.7143938541412354,2.62,2.54,2.87,4.64
0.7247850894927979,1.74,1.95,3.23,4.15
0.7356841564178467,2.22,2.23,3.2,4.48
0.7451980113983154,2.83,3.19,2.83,5.11
0.7585840225219727,3.56,3.68,2.98,5.92
0.7652719020843506,4.09,3.65,4.41,7.03
0.786142110824585,4.05,2.47,6.15,7.76
0.7867529392242432,3.81,0.32,7.44,8.36
0.7946310043334961,2.5,-1.27,8.12,8.59
0.804797887802124,1.17,-2.01,7.11,7.48
0.8148858547210693,1.23,-0.99,4.65,4.91
0.825206995010376,2.22,1.5,2.05,3.37
0.8362870216369629,2.8,3.07,0.53,4.18
0.8456709384918213,1.9,3.82,-0.32,4.27
0.8593120574951172,-0.25,4.09,-2.18,4.64
0.8657090663909912,-2.41,4.04,-4.74,6.67
0.8863370418548584,-4.11,4.09,-6.28,8.54
0.8869588375091553,-4.94,4.37,-6.83,9.49
0.8952481746673584,-4.95,4.82,-7.2,9.97
0.905289888381958,-5.2,4.93,-7.66,10.48
0.9153101444244385,-4.84,4.85,-7.42,10.09
0.925670862197876,-3.48,5.02,-6.56,8.96
0.9358229637145996,-2.23,5.05,-5.55,7.82
0.946030855178833,-1.44,4.77,-4.22,6.52
0.9593231678009033,-1.8,3.78,-2.52,4.88
0.9660680294036865,-2.79,3.05,0.53,4.16
0.9862968921661377,-3.87,1.46,3.79,5.61
0.9869039058685303,-5.09,-0.09,3.96,6.44
0.995621919631958,-4.81,0.35,1.91,5.18
1.005753993988037,-2.4,1.89,-0.24,3.06
1.0158541202545166,-0.25,4.04,-1.77,4.41
1.0261719226837158,0.79,5.1,-2.98,5.95
1.0359680652618408,0.1,4.71,-3.86,6.09
1.046360969543457,-1.6,3.45,-4.1,5.59
1.0596568584442139,-3.29,2.48,-3.19,5.21
1.0665860176086426,-4.2,1.93,-1.13,4.75
1.0855450630187988,-5.03,1.65,1.21,5.43
1.0861809253692627,-5.56,2.14,4.34,7.37
1.0960638523101807,-5.55,2.69,7.78,9.92
1.1064209938049316,-4.39,3.33,9.77,11.21
1.1162769794464111,-3.2,4.72,9.92,11.44
1.126621961593628,-2.89,5.76,8.28,10.49
1.1365511417388916,-2.79,6.19,6.74,9.56
1.1469900608062744,-3.08,5.8,6.91,9.53
1.1604640483856201,-3.11,4.88,7.45,9.43
1.1670949459075928,-2.94,3.99,8.21,9.58
1.1888978481292725,-2.8,3.24,8.4,9.42
1.1895380020141602,-2.78,1.89,7.14,7.89
1.1964919567108154,-2.9,0.32,4.14,5.06
1.2067830562591553,-2.86,-0.43,0.67,2.96
1.216752052307129,-2.53,-0.82,-2.94,3.96
1.2270050048828125,-1.6,-0.92,-6.35,6.61
1.2369911670684814,-0.12,-0.95,-8.41,8.46
1.2473371028900146,0.88,-1.12,-8.57,8.68
1.2608840465545654,1.09,-1.32,-8.87,9.03
1.2876861095428467,1.9,-1.21,-7.95,8.26
1.2884650230407715,2.09,-0.98,-5.01,5.51
1.2892038822174072,1.48,-1.57,-1.01,2.38
1.2970199584960938,0.78,-2.85,4.53,5.4
1.3071470260620117,1.16,-3.93,8.48,9.41
1.318390130996704,2.63,-3.69,7.95,9.15
1.3273539543151855,4.77,-1.88,2.54,5.72
1.3374898433685303,5.79,0.48,-2.18,6.2
1.3477439880371094,5.08,0.36,-7.61,9.15
1.3612148761749268,4.05,-0.38,-11.45,12.15
1.3867261409759521,4.25,-1.01,-10.04,10.94
1.3873419761657715,5.31,-2.19,-4.02,7.01
1.3879401683807373,6.56,-3.28,3.66,8.19
